"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"11/17/2024 3 a.m. EST",26722,19936,25524,18744,75029,64049,10003,38988,13401,19225,10169,14424,40853
US48,"11/17/2024 4 a.m. EST",25954,20127,25306,18221,75116,63171,9962,37660,13265,19168,9915,14439,40035
US48,"11/17/2024 5 a.m. EST",25135,20591,25132,18030,75245,62647,9811,36699,13303,18928,9796,14799,39697
US48,"11/17/2024 6 a.m. EST",24402,21392,25185,18249,75742,62630,10138,36347,13559,19162,9818,15151,39920
US48,"11/17/2024 7 a.m. EST",23898,22463,25408,18950,77862,63827,10670,36274,13992,19893,9927,15551,40228
US48,"11/17/2024 8 a.m. EST",23596,23636,25953,20095,79879,65469,10820,36864,14258,20432,10217,16133,40859
US48,"11/17/2024 9 a.m. EST",23586,23791,26622,22139,80065,67029,10255,37872,14055,20320,10655,16664,41474
US48,"11/17/2024 10 a.m. EST",24066,22859,27384,24145,80245,67953,9572,39143,13743,20071,10880,16732,43524
US48,"11/17/2024 11 a.m. EST",24632,21773,27856,25800,79023,68494,9370,40117,13597,19954,10449,16252,45726
US48,"11/17/2024 12 p.m. EST",25636,21102,27978,27305,78461,69077,9453,41265,13616,19753,10104,15745,47767
US48,"11/17/2024 1 p.m. EST",27286,20978,28170,28742,78358,69320,9408,41639,13958,19850,9657,15615,49305
US48,"11/17/2024 2 p.m. EST",26508,20897,28496,29669,78186,69846,9884,41483,14480,19945,9522,15415,50812
US48,"11/17/2024 3 p.m. EST",25852,20826,28616,30344,78134,70237,10764,41587,15073,20046,9586,15412,51807
US48,"11/17/2024 4 p.m. EST",25143,21010,28688,30700,78226,70469,12097,41659,15764,20567,9587,15509,52125
US48,"11/17/2024 5 p.m. EST",24761,21290,28858,30604,80813,71704,13440,41687,16626,21418,9761,15750,50957
US48,"11/17/2024 6 p.m. EST",24365,22717,29145,30773,85709,73838,14171,41593,17330,22633,10190,16331,50573
US48,"11/17/2024 7 p.m. EST",25396,23299,30175,31036,86656,76534,13914,42772,17246,23603,10755,16929,51957
US48,"11/17/2024 8 p.m. EST",25415,23077,30387,29782,85928,76285,13436,44943,16909,23578,11399,16894,53316
US48,"11/17/2024 9 p.m. EST",27241,22697,30116,28402,84624,74974,12887,45925,16577,23055,11752,16665,53678
US48,"11/17/2024 10 p.m. EST",29055,21873,29529,26703,82162,72918,12115,45526,15960,22303,11572,16348,53387
US48,"11/17/2024 11 p.m. EST",28829,20823,28784,24564,79557,70954,11246,44788,15100,21201,11669,15587,52333
US48,"11/18/2024 12 a.m. EST",28495,19823,27605,22332,78014,68720,10513,43530,14238,20227,11317,14921,50286
